"V1" "V2"
"1" "BEL" "1842"
"2" "BEL" "1846"
"3" "BEL" "1847"
"4" "BEL" "1849"
"5" "BEL" "1855"
"6" "BEL" "1865"
"7" "BEL" "1866"
"8" "BEL" "1871"
"9" "ESP" "1918"
"10" "FIN" "1881"
"11" "FRACNP" "1819"
"12" "FRACNP" "1822"
"13" "FRACNP" "1824"
"14" "FRACNP" "1825"
"15" "FRACNP" "1826"
"16" "FRACNP" "1828"
"17" "FRACNP" "1832"
"18" "FRACNP" "1834"
"19" "FRACNP" "1849"
"20" "FRACNP" "1854"
"21" "FRACNP" "1859"
"22" "FRACNP" "1871"
"23" "FRACNP" "1871"
"24" "FRATNP" "1819"
"25" "FRATNP" "1822"
"26" "FRATNP" "1824"
"27" "FRATNP" "1825"
"28" "FRATNP" "1826"
"29" "FRATNP" "1828"
"30" "FRATNP" "1832"
"31" "FRATNP" "1834"
"32" "FRATNP" "1849"
"33" "FRATNP" "1854"
"34" "FRATNP" "1859"
"35" "FRATNP" "1871"
"36" "FRATNP" "1871"
"37" "ISL" "1838"
"38" "ISL" "1839"
"39" "ISL" "1840"
"40" "ISL" "1843"
"41" "ISL" "1846"
"42" "ISL" "1847"
"43" "ISL" "1849"
"44" "ISL" "1850"
"45" "ISL" "1851"
"46" "ISL" "1857"
"47" "ISL" "1858"
"48" "ISL" "1859"
"49" "ISL" "1860"
"50" "ISL" "1861"
"51" "ISL" "1862"
"52" "ISL" "1864"
"53" "ISL" "1865"
"54" "ISL" "1866"
"55" "ISL" "1868"
"56" "ISL" "1869"
"57" "ISL" "1871"
"58" "ISL" "1872"
"59" "ISL" "1875"
"60" "ISL" "1881"
"61" "ISL" "1882"
"62" "ISL" "1883"
"63" "ISL" "1839"
"64" "ISL" "1840"
"65" "ISL" "1843"
"66" "ISL" "1846"
"67" "ISL" "1847"
"68" "ISL" "1849"
"69" "ISL" "1850"
"70" "ISL" "1851"
"71" "ISL" "1859"
"72" "ISL" "1860"
"73" "ISL" "1861"
"74" "ISL" "1862"
"75" "ISL" "1869"
"76" "ISL" "1872"
"77" "ISL" "1882"
"78" "ISL" "1883"
"79" "ITA" "1872"
"80" "ITA" "1873"
"81" "ITA" "1874"
"82" "ITA" "1875"
"83" "ITA" "1876"
"84" "ITA" "1877"
"85" "ITA" "1878"
"86" "ITA" "1879"
"87" "ITA" "1880"
"88" "ITA" "1881"
"89" "ITA" "1882"
"90" "ITA" "1883"
"91" "ITA" "1884"
"92" "ITA" "1885"
"93" "ITA" "1886"
"94" "ITA" "1887"
"95" "ITA" "1888"
"96" "ITA" "1889"
"97" "ITA" "1890"
"98" "ITA" "1891"
"99" "ITA" "1892"
"100" "ITA" "1918"
"101" "ITA" "1872"
"102" "ITA" "1873"
"103" "ITA" "1874"
"104" "ITA" "1875"
"105" "ITA" "1918"
"106" "NLD" "1852"
"107" "NLD" "1855"
"108" "NLD" "1856"
"109" "NLD" "1857"
"110" "NLD" "1858"
"111" "NLD" "1859"
"112" "NLD" "1860"
"113" "NLD" "1861"
"114" "NLD" "1862"
"115" "NLD" "1863"
"116" "NLD" "1864"
"117" "NLD" "1865"
"118" "NLD" "1866"
"119" "NLD" "1868"
"120" "NLD" "1870"
"121" "NLD" "1871"
"122" "NLD" "1872"
"123" "NLD" "1875"
"124" "NLD" "1859"
"125" "SWE" "1752"
"126" "SWE" "1754"
"127" "SWE" "1755"
"128" "SWE" "1756"
"129" "SWE" "1757"
"130" "SWE" "1758"
"131" "SWE" "1761"
"132" "SWE" "1762"
"133" "SWE" "1763"
"134" "SWE" "1764"
"135" "SWE" "1765"
"136" "SWE" "1768"
"137" "SWE" "1769"
"138" "SWE" "1770"
"139" "SWE" "1771"
"140" "SWE" "1772"
"141" "SWE" "1773"
"142" "SWE" "1778"
"143" "SWE" "1779"
"144" "SWE" "1783"
"145" "SWE" "1784"
"146" "SWE" "1785"
"147" "SWE" "1788"
"148" "SWE" "1789"
"149" "SWE" "1790"
"150" "SWE" "1795"
"151" "SWE" "1800"
"152" "SWE" "1801"
"153" "SWE" "1806"
"154" "SWE" "1808"
"155" "SWE" "1809"
"156" "SWE" "1810"
"157" "SWE" "1811"
"158" "SWE" "1857"
"159" "SWE" "1763"
"160" "SWE" "1772"
"161" "SWE" "1773"
"162" "SWE" "1779"
"163" "SWE" "1784"
"164" "SWE" "1808"
"165" "SWE" "1809"
